,SalePrice
1151,149900
859,250000
702,361919
138,230000
1020,176000
1174,239000
7,200000
507,208300
862,152000
956,124000
638,85000
937,253000
1202,117000
412,222000
1422,136500
361,145000
154,125000
347,157500
308,82500
1301,177500
619,305000
1140,139000
283,244600
1246,186500
1413,257000
1091,160000
405,150000
473,440000
509,124500
539,272000
1027,293077
911,143500
1157,230000
555,113000
1294,115000
1179,93000
954,127500
164,152000
340,202900
59,124900
1359,315000
1407,112000
454,188000
863,132500
1137,94000
1131,93500
1296,155000
442,162900
794,194500
881,187500
1341,155000
827,189000
1017,187500
592,138000
950,129000
352,95000
1190,168000
1039,80000
468,250000
1398,138000
660,197900
578,146000
654,350000
602,220000
898,611657
475,132500
808,159950
284,179200
940,150900
740,132000
723,135000
840,140000
960,116500
1155,218000
1048,115000
1322,190000
460,263435
590,185900
148,141000
161,412500
1122,112000
758,179400
1128,215000
867,129000
961,272000
1214,134500
635,200000
613,147000
165,127500
106,100000
1051,200141
624,165150
1211,164000
333,207000
485,147000
503,289000
1354,235000
93,133900
817,271000
438,90350
1118,140000
43,130250
868,169000
1271,185750
976,85500
718,341000
1425,142000
1391,124000
773,114500
893,165000
561,170000
1388,377500
69,225000
519,234000
514,96500
344,85000
222,179900
147,222500
1064,154000
1149,143000
811,144500
513,134000
1302,290000
177,172500
812,55993
169,228000
1257,99900
1339,128500
130,226000
190,315000
137,171000
1325,55000
902,180000
198,104000
293,235000
36,145000
775,162000
233,128200
652,191000
33,165500
1123,118000
1410,230000
1079,126000
873,133000
345,140200
1096,127000
200,140000
434,81000
1448,112000
884,100000
738,179000
927,176000
300,157000
73,144900
815,224900
552,255500
958,185000
1340,123000
1318,275000
1326,79000
829,147400
671,103600
1312,302000
630,124000
1173,200500
213,156000
1046,556581
1324,147000
1351,171000
735,163000
709,109900
1033,230000
1396,160000
235,89500
1018,160000
987,395192
67,226000
24,154000
217,107000
820,183000
743,175000
1164,194000
111,180000
167,325624
1394,246578
208,277000
277,141000
41,170000
598,217500
1291,119500
530,175000
290,233230
474,251000
122,136000
1455,175000
1265,183900
936,184900
681,159434
1152,230000
894,118858
965,178900
25,256300
1145,149000
150,122000
933,190000
1188,195000
704,213000
851,215000
897,142953
605,205000
1031,197000
140,115000
757,158900
1299,154000
1015,227000
327,145250
181,200100
1286,143000
455,175500
614,75500
1054,255000
299,158500
1308,147000
1263,180500
94,204750
1327,130500
644,370878
289,153575
493,155000
449,120000
1220,115000
1210,189000
278,415298
814,116000
1163,108959
1218,80500
32,179900
1115,318000
310,165600
778,144000
11,345000
880,157000
1078,155900
86,174000
786,139000
1071,154000
1446,157900
1093,146000
1076,170000
790,160200
567,214000
210,98000
1183,120000
747,265979
601,141000
124,181000
742,179000
939,244400
98,83000
381,187750
131,244000
23,129900
1372,274300
560,121500
374,219500
387,125000
202,112000
925,175000
372,125000
982,159895
391,215000
824,232600
1332,100000
258,231500
1234,130000
1130,135000
170,128500
1345,108500
565,128000
377,340000
917,135000
727,194500
799,175000
963,239000
1264,181000
1178,154900
1216,112000
876,132250
981,336000
1166,245350
1421,127500
1082,192000
973,182000
782,187100
328,214500
204,110000
84,168500
640,274000
916,35311
618,314813
403,258000
91,98600
1117,130000
435,212000
787,233000
1154,201800
294,167000
57,196500
1361,260000
259,97000
896,106500
1419,223000
1077,138800
392,106500
339,155000
276,201000
764,270000
1088,137500
1409,215000
129,150000
810,181000
28,207500
1219,91500
890,122900
515,402861
683,285000
152,190000
245,241500
722,124500
548,125000
549,263000
646,98300
705,55000
1304,130000
1328,256000
428,195400
918,238000
1182,745000
667,193500
805,227680
1435,174000
1213,145000
99,128950
858,152000
453,210000
763,337000
985,125000
115,176000
785,161500
72,185000
853,158000
542,213250
857,174000
175,243000
87,164500
556,141000
713,129000
317,270000
1438,149700
607,225000
1105,325000
606,152000
280,228500
1044,278000
1401,193000
771,102000
843,141000
1228,367294
564,268000
692,335000
